id,titulo,comuna,hometype,precio_uf,currency,latitude,longitude,url_canonical,NSE
1157864,ESPACIOSA CASA EN PAINE,Paine,casa,7563,UF,-33.797703,-70.724792,https://chile.estateathome.com/homedetails/1332673982840943/LA-TRILLA-1100-Rm-metropolitana-Paine,ABC1
1158991,Laguna de Aculeo,Paine,casa,9500,UF,-33.858200,-70.929298,https://chile.estateathome.com/homedetails/7910411107550162/Laguna-de-Aculeo-Rm-metropolitana-Paine,ABC1
1159870,General Baquedano,Paine,casa,5000,UF,-33.799301,-70.741302,https://chile.estateathome.com/homedetails/1411482828756217/General-Baquedano-Rm-metropolitana-Paine,ABC1
1156871,Casa en Villa Los Lagos Paine,Paine,casa,3200,UF,-33.811501,-70.735397,https://chile.estateathome.com/homedetails/1501603314887308/Casa-en-Villa-Los-Lagos-Paine-Rm-metropolitana-Paine,C2
1156233,"GENERAL BAQUEDANO 334, Paine",Paine,casa,5000,UF,-33.800400,-70.741035,https://chile.estateathome.com/homedetails/1062185211848939/GENERAL-BAQUEDANO-334-Rm-metropolitana-Paine,ABC1
1153491,Casa en Villa Los Lagos Paine,Paine,casa,3200,UF,-33.811501,-70.735397,https://chile.estateathome.com/homedetails/1056775969401734/Casa-en-Villa-Los-Lagos-Paine-Rm-metropolitana-Paine,C2
1145362,Camino Padre Hurtado//Huelquén,Paine,casa,12200,UF,-33.784302,-70.657501,https://chile.estateathome.com/homedetails/1813069041908404/Camino-Padre-Hurtado-Huelquen-Rm-metropolitana-Paine,ABC1
1144052,LA HUIGUERA,Paine,casa,4444,UF,-33.840900,-70.838898,https://chile.estateathome.com/homedetails/3257814930480343/LA-HUIGUERA-Rm-metropolitana-Paine,ABC1
1142353,CHAMPA -RANGUE,Paine,casa,15340,UF,-33.808201,-70.736397,https://chile.estateathome.com/homedetails/1736617707048186/CHAMPA-RANGUE-Rm-metropolitana-Paine,ABC1
1141084,"GENERAL BAQUEDANO 334, Paine",Paine,casa,5054,UF,-33.800400,-70.741035,https://chile.estateathome.com/homedetails/1541792676179249/GENERAL-BAQUEDANO-334-Rm-metropolitana-Paine,ABC1
